03-02 00:56:58.441 17121 17305 I TestRunner: started: homeScreen_no_tabs_rendered_when_sections_are_empty(com.podcast.app.ui.HomeScreenTest)
03-02 00:56:58.500  1507  1507 I SurfaceFlinger: [7528413 Splash Screen com.podcast.app.debug#155385] attach to parent LayerHierarchy{RequestedLayerState{ActivityRecord{110314784 u0 com.podcast.app.debug/androidx.activity.ComponentActivity t44844}#155384 parentId=155383} 1 children}
03-02 00:56:58.501  2013  3645 D InputTransport: Input channel destroyed: '7528413', fd=1044
03-02 00:56:58.502  2746  2808 D InputTransport: Input channel constructed: '7528413', fd=443
03-02 00:56:58.503  2746  2808 I InsetsController: onStateChanged: host=Splash Screen com.podcast.app.debug, from=android.view.ViewRootImpl.onInsetsStateChanged:3026, state=InsetsState: {mDisplayFrame=Rect(0, 0 - 1080, 2340), mDisplayCutout=DisplayCutout{insets=Rect(0, 80 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(472, 0 - 608, 80), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=1080 displayHeight=2340 physicalDisplayWidth=1080 physicalDisplayHeight=2340 density={2.8125} cutoutSpec={M 0,0 H -24.177777778 V 28.4444444444 H 24.177777778 V 0 H 0 Z @dp} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, mRoundedCorners=RoundedCorners{[RoundedCorner{position=TopLeft, radius=113, center=Point(113, 113)}, RoundedCorner{position=TopRight, radius=113, center=Point(967, 113)}, RoundedCorner{position=BottomRight, radius=113, center=Point(967, 2227)}, RoundedCorner{position=BottomLeft, radius=113, center=Point(113, 2227)}]}  mRoundedCornerFrame=Rect(0, 0 - 1080, 2340), mPrivacyIndicatorBounds=PrivacyIndicatorBounds {static bounds=Rect(956, 0 - 1080, 80) rotation=0}, mDisplayShape=DisplayShape{ spec=-311912193 displayWidth=1080 displayHeight=2340 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}, mSources= { InsetsSource: {e9af0000 mType=statusBars mFrame=[0,0][1080,80] mVisible=true mFlags= mSideHint=TOP mBoundingRects=null}, InsetsSource: {e9af0005 mType=mandatorySystemGestures mFrame=[0,0][1080,114] mVisible=true mFlags= mSideHint=TOP mBoundingRects=null}, InsetsSource: {e9af0006 mType=tappableElement mFrame=[0,0][1080,80] mVisible=true mFlags= mSideHint=TOP mBoundingRects=null}, InsetsSource: {27 mType=displayCutout mFrame=[0,0][1080,80] mVisible=true mFlags= mSideHint=TOP mBoundingRects=null}, InsetsSource: {26ed0001 mType=navigationBars mFrame=[0,2298][1080,2340] mVisible=true mFlags=SUPPRESS_SCRIM mSideHint=BOTTOM mBoundingRects=null}, InsetsSource: {26ed0004 mType=systemGestures mFrame=[0,0][84,2340] mVisible=true mFlags= mSideHint=LEFT mBoundingRects=null}, InsetsSource: {26ed0005 mType=mandatorySystemGestures mFrame=[0,2250][1080,2340] mVisible=true mFlags= mSideHint=BOTTOM mBoundingRects=null}, InsetsSource: {26ed0006 mType=tappableElement mFrame=[0,0][0,0] mVisible=true mFlags= mSideHint=NONE mBoundingRects=null}, InsetsSource: {26ed0024 mType=systemGestures mFrame=[996,0][1080,2340] mVisible=true mFlags= mSideHint=RIGHT mBoundingRects=null} }
03-02 00:56:58.503  3202  3386 I HoneySpace.TopTaskSource: onTaskMovedToFront : taskId = 44844, displayId = 0
03-02 00:56:58.504  2746  2808 I VRI[debug]@3f16ae2: onActiveControlsChanged, removed=false, mAdded=true, caller=android.view.ViewRootImpl.handleInsetsControlChanged:3002 android.view.ViewRootImpl.setView:2014 android.view.WindowManagerGlobal.addView:604 com.android.wm.shell.startingsurface.SplashscreenWindowCreator.addWindow:38 com.android.wm.shell.startingsurface.StartingWindowController$$ExternalSyntheticLambda4.run:1365
03-02 00:56:58.504  1444  1809 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.504  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.504  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.504  1444  1809 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] numElements[0] key[0] metaData[0]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] setPQParam() id[a] enable[1], scenario[1]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] video TS [6533]
03-02 00:56:58.505  1444  1808 D PQ      : PQDSConfig::getEnableStatus check1  time 0 ms
03-02 00:56:58.505  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getEnableStatus = 1
03-02 00:56:58.505  1444  1808 D PQ      : [PQDSConfig] m_TDSHPTableInit 1
03-02 00:56:58.505  1444  1808 D PQ      : [PQDSConfig] getAshmemContext(SHP_ENABLE) = 1
03-02 00:56:58.505  1444  1808 D PQ      : PQDSConfig::getEnableStatus check2  time 0 ms
03-02 00:56:58.505  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getUREnableStatus = 1
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] setDpPqConfig m_svp = 0, enDRE = 0
03-02 00:56:58.505  1444  1808 D MDP     : setPQParam globalPQSupport = [0] globalPQSwitch = [0] globalPQStrength = [0] globalPQType = [0]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] setPQparam userId[0x0], scenario[1], enDRE[0]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSession] setPQDREParam userId[0x0] scenario[1] enDRE[0]
03-02 00:56:58.505  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.505  1444  1808 D PQ_HDR  : DpAsyncBlit: job:(2070195 180) in:(720, 1280)[720 368] C8s P1.1.1.0.1, alpha 0, sec0 flush:0 Buffer 1035097: plane=3 bufVA={0xb4,0xb4,0xb4} bufMVA={0x0,0x0,0x0} bufSize={0xe1000,0x39800,0x39800} proxy={0xb40000747320b5a0,0x0,0x0}fence=-1
03-02 00:56:58.505  1444  1808 D PQ_HDR  : DpAsyncBlit: out 0:(1076, 1920)[2176 0] C5 P1.1.1.0.1 R:0 F:0 S:1 A:0 HDR:0 COLOR:0 CCORR:1 sec0 flush:0 Buffer 1035097: plane=1 bufVA={0x9c,0x0,0x0} bufMVA={0x0,0x0,0x0} bufSize={0x4db200,0x0,0x0} proxy={0xb40000747320b7a0,0x0,0x0}fence=206
03-02 00:56:58.505  1444  1808 D PQ_HDR  : DpAsyncBlit: crop 0:(3.0, 0.0, 717.0, 1280.0) compose:(0, 0, 1075, 1920)
03-02 00:56:58.505  3202  3390 I HoneySpace.TopTaskUseCase: topTasks 44844 ComponentInfo{com.podcast.app.debug/androidx.activity.ComponentActivity}[displayId=0]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.506  2746  2808 I VRI[debug]@3f16ae2: synced displayState. AttachInfo displayState=2
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.506  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.506  1444  1808 D PQ      : [PQRSZConfig] PQRSZConfig::getUREnableStatus = 1
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) pqSessionId = a
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) tdshpEnable(1) enSharp(1) enDC(0) enHFG(0)
03-02 00:56:58.506  2746  2808 I VRI[debug]@3f16ae2: setView = android.widget.FrameLayout@b8cb1a9 IsHRR=false mFlingFrameRateChange=0 TM=true
03-02 00:56:58.506  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) adl_enable = 0
03-02 00:56:58.506  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) hfg_enable = 0
03-02 00:56:58.506  1444  1808 D AAL     : PQEngineInterface] DpEngineTDSHPConfigFrame(0) shp_enable = 0
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.506  1444  1808 W AAL     : DpEngine_AAL: relay 1
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 803, 1920, OutSize: 803, 1920
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.506  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.506  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 36177152
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.506  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 35652864
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 551, inTileXLeft = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 543, inTileYTop = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  2746  2870 D HWUI    : HWUI - treat SMPTE_170M as sRGB
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 0, outTileXRight = 551
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 0, inTileXRight = 551
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 551, src h: 552,v: 1280
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 274, 1920, OutSize: 274, 1920
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.507  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_aal_size = 12715264
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface(1791345034)::MDP_AAL_output_offset = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) MDP_AAL_output_size = 12190976
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileXRight = 719, inTileXLeft = 526
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) inTileYBottom = 719, inTileYTop = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) outTileXRight = 1279, outTileXLeft = 534
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0) m_outTileYBottom = 1279, m_outTileYTop = 0
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineAALCongTile(0)cropOffset[X, Y]=[1, 0], crop[Wid, Hei]=[0, 720]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) outTileXLeft = 526, outTileXRight = 719
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inTileXLeft = 526, inTileXRight = 719
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_out_start_x = 0, HDR_out_end_x = 193, src h: 194,v: 1280
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_hist_end_x = 0, HDR_hist_begin_x = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) HDR_first_tile = 0, HDR_last_tile = 0
03-02 00:56:58.507  1444  1808 D AAL     : [PQEngineInterface] DpEngineHDRConfigTile(0) inFrameWidth = 720 , middlePosX = 0
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.507  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.509  1507  1825 I SurfaceFlinger: Capture layer list: 	 com.zhiliaoapp.musically/com.ss.android.ugc.aweme.splash.SplashActivity$_14885#155364(seamlessTransition:0)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: Work [ id=f23029b8-b7a3-4a93-aaf6-b7c7a26dfe9e, tags={ com.urbanairship.job.AirshipWorker,airship } ] was cancelled
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: androidx.work.impl.WorkerStoppedException
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at o.setEnabledWhenDeviceHasQuirk.AnimatedBarChartKtAnimatedBarChart1112(:348)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at o.MutableConfig.AnimatedBarChartKtAnimatedBarChart1(:439)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at o.MutableConfig.AnimatedBarChartKtAnimatedBarChart1112(:259)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at o.getUseCaseInfo.run(:49)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at o.TagBundle$Architecture.run(:96)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1154)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:652)
03-02 00:56:58.512 14636 15263 I WM-WorkerWrapper: 	at java.lang.Thread.run(Thread.java:1563)
03-02 00:56:58.514  2013  4843 I WindowManager: Relayout Window{7528413 u0 Splash Screen com.podcast.app.debug}: viewVisibility=0 req=1080x2340 ty=3 d0
03-02 00:56:58.513 14636 15263 D WM-WorkerWrapper: Status for f23029b8-b7a3-4a93-aaf6-b7c7a26dfe9e is RUNNING; not doing any work and rescheduling for later execution
03-02 00:56:58.515  1444  1809 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.515  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.515  1444  1809 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.515  1444  1809 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.515  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:56:58.515  1444  1808 D MDP     : [PQSessionManager] createPQSession(a) user(0xb4000074f4d46d80)
03-02 00:56:58.515  1444  1808 D MDP     : [PQSessionManager] Duplicated ID[a] found, please check if double createPQSession!
03-02 00:56:58.515  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.515  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.515  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] existed
03-02 00:56:58.515  1444  1808 D MDP     : [PQSession] incRefCount id[a] user[0xb4000074f4d46d80] numOfUser[1]
